State,City,County,Year,SO,NO,CO,O3,Latitude,Longitude
North Carolina,Charlotte,Mecklenburg,2001,3.50825223529,14.9694565134,0.581602850267,0.0328627914439,35.26002,-80.804151
Oklahoma,Park Hill,Cherokee,2001,0.443796894009,8.29900235023,0.0258434608295,0.0320083870968,35.8093,-95.076549
Oklahoma,Ponca City,Kay,2001,1.59364579114,6.35942932278,0.0355481329114,0.0402699810127,36.736868,-97.18908
Oklahoma,Miami,Ottawa,2001,1.101298088,9.433631408,0.037946184,0.032702812,36.842401,-94.854482
Pennsylvania,Pittsburgh,Allegheny,2001,7.62030611429,20.5700794238,0.358512519048,0.0280839619048,40.418119,-80.052576
Pennsylvania,Beaver Falls,Beaver,2001,6.50635838208,15.8887711887,0.25645309434,0.0244581226415,40.7503413,-80.5000669
Pennsylvania,Reading,Berks,2001,5.81139073832,17.2698306402,0.535475037383,0.0277053738318,40.357242,-75.940153
Pennsylvania,Altoona,Blair,2001,5.97489075117,11.5361145493,0.103916338028,0.0294140798122,40.489433,-78.349874
Pennsylvania,Bristol,Bucks,2001,3.24537522816,16.1009651893,0.297967242718,0.0296503300971,40.115859,-74.853608
Pennsylvania,Johnstown,Cambria,2001,5.78251955224,11.5923323383,0.492216711443,0.0283594328358,40.412707,-78.854245
Pennsylvania,Scranton,Lackawanna,2001,3.1665975303,13.8244534545,0.496580858586,0.0291417828283,41.401881,-75.637626
Pennsylvania,Lancaster,Lancaster,2001,1.82736976526,11.182842939,0.297068056338,0.0316560046948,40.076553,-76.31068
Pennsylvania,New Castle,Lawrence,2001,9.3181553615,14.9272531221,0.314949450704,0.0238709953052,40.964516,-80.300736
Pennsylvania,Norristown,Montgomery,2001,3.1326955,14.4601983861,0.245668306931,0.0320446485149,40.149154,-75.356627
Pennsylvania,Freemansburg,Northampton,2001,1.8568137217,14.2117322689,0.218879910377,0.0289973867925,40.626488,-75.345735
Pennsylvania,Philadelphia,Philadelphia,2001,4.6939170295,25.7343904897,0.554050660767,0.0151051327434,40.001811,-75.11787
Pennsylvania,Charleroi,Washington,2001,5.02279348341,12.7171342133,0.0724098056872,0.0283977156398,40.135834,-79.932907
Pennsylvania,Greensburg,Westmoreland,2001,10.6450919402,15.1976552935,0.187560358696,0.0290628967391,40.347017,-79.500729
Pennsylvania,York,York,2001,5.22230003791,17.997956327,0.267061635071,0.0310322274882,40.001615,-76.689918
Texas,Dallas,Dallas,2001,0.998309967742,18.8854438182,0.38801556305,0.0223839941349,32.781179,-96.790329
Texas,El Paso,El Paso,2001,0.677473607492,14.3992743306,0.430542161238,0.0313537410423,31.763608,-106.484592
Texas,Houston,Harris,2001,4.35479924118,16.9119727676,0.304964423529,0.0198916029412,29.813142,-95.309789
Arizona,Scottsdale,Maricopa,2002,2.43352382353,28.2643776949,0.907552626838,0.0195720404412,33.420061,-111.792658
Arizona,Tucson,Pima,2002,1.02028022191,16.6224077809,0.399485317416,0.0278006179775,32.169577,-110.875093
California,Oakland,Alameda,2002,1.60359332081,18.9057700289,0.698532092486,0.0187074682081,37.786027,-122.223779
California,Pittsburg,Contra Costa,2002,1.88021737779,13.0331336651,0.463853461362,0.02405225415,38.00307,-121.917219
California,Calexico,Imperial,2002,0.239357731092,13.4849288992,1.00961343137,0.0235461512605,32.946832,-115.518355
California,Hawthorne,Los Angeles,2002,2.24028808551,30.5777765364,0.934249331588,0.022360069808,33.786594,-118.298662
California,Costa Mesa,Orange,2002,1.55435274366,17.6557456282,0.551012259155,0.0288016309859,33.640302,-117.769442
California,Rubidoux,Riverside,2002,0.065505570122,22.9113078811,0.833161417683,0.0283113445122,33.9958669,-117.4262714
California,Arden-Arcade,Sacramento,2002,1.14820929969,15.1119863307,0.53010538354,0.0302481071429,38.600807,-121.377037
California,Victorville,San Bernardino,2002,1.25738463812,22.2012653729,0.405898041436,0.0319442790055,34.491985,-114.754916
California,San Diego,San Diego,2002,3.59015682298,20.2419891909,0.823479353105,0.0270689026877,32.709355,-117.232764
California,San Francisco,San Francisco,2002,1.91765261127,18.6503732817,0.689966619718,0.0191815830986,37.784827,-122.727802
California,Vandenberg Air Force Base,Santa Barbara,2002,0.484216605169,4.65728819095,0.249372582197,0.0353289899497,34.75821,-120.516395
California,Davenport,Santa Cruz,2002,1.19590433234,4.63349394362,0.366413495549,0.0262342106825,37.097536,-122.24338
California,Vallejo,Solano,2002,1.29749556749,12.9732838457,0.561394201102,0.0219363801653,38.158221,-122.280383
California,Not in a city,Ventura,2002,0.481346389222,10.1368022575,0.266467347305,0.0249458233533,34.330829,-119.358352
Colorado,Welby,Adams,2002,2.25961664945,19.8069110111,0.50151798893,0.0206124501845,39.872535,-105.034487
District Of Columbia,Washington,District of Columbia,2002,6.68469715385,24.4547245467,1.16150681593,0.0241766098901,38.911936,-77.016719
Florida,Winter Park,Orange,2002,0.650392002762,11.3178212983,0.473632939227,0.0231627348066,28.602327,-81.35874
Illinois,Calumet City (PU RR name Calumet Park (sta.)),Cook,2002,3.19378500245,21.8377431471,0.699822458333,0.0228504166667,41.811929,-87.68732
Illinois,East Saint Louis,Saint Clair,2002,5.32249508696,17.4883802899,0.466983623188,0.0206189623188,38.612317,-90.115857
Indiana,Indianapolis (Remainder),Marion,2002,3.49199203937,16.3944835276,0.446391070866,0.0356007480315,39.762392,-86.143736
Kansas,Not in a city,Linn,2002,0.439332615385,3.17921367582,0.13904318956,0.0287548846154,38.089756,-95.007693
Kansas,Not in a city,Sumner,2002,0.190529803419,4.24205601709,0.00861147008547,0.0284797094017,37.248959,-97.690887
Kansas,Kansas City,Wyandotte,2002,3.34562930503,16.8495213553,0.829962858491,0.0252927484277,39.145049,-94.688896
Kentucky,Ashland,Boyd,2002,3.22490653719,9.91676870248,0.133913780992,0.0346516198347,38.43296,-82.693914
Kentucky,Lexington-Fayette (corporate name for Lexington),Fayette,2002,2.85654489908,11.8143669587,0.042209940367,0.0306973348624,38.016674,-84.486043
